GeneID	GeneName	Chromosome	Start	End	Strand	Biotype
ENSG00000215912	TTC34	1	2635976	2789755	-	protein_coding
ENSG00000233234	RP11-740P5.2	1	2811850	2812692	-	lincRNA
ENSG00000231630	RP11-740P5.3	1	2814432	2814998	-	lincRNA
ENSG00000169717	ACTRT2	1	3021483	3022903	+	protein_coding
ENSG00000177133	LINC00982	1	3059615	3068437	-	antisense
ENSG00000142611	PRDM16	1	3069168	3438621	+	protein_coding
ENSG00000226286	RP1-163G9.2	1	3132927	3133709	-	antisense
ENSG00000279839	RP11-193J6.1	1	3205988	3208664	+	TEC
ENSG00000272235	RP11-22L13.1	1	3306636	3310096	-	lincRNA
ENSG00000130762	ARHGEF16	1	3454426	3481113	+	protein_coding
ENSG00000272088	RP11-168F9.2	1	3487246	3487627	+	lincRNA
ENSG00000162591	MEGF6	1	3489920	3611495	-	protein_coding
ENSG00000207776	MIR551A	1	3560695	3560790	-	miRNA
ENSG00000238260	RP11-46F15.2	1	3623190	3624743	-	antisense
ENSG00000158109	TPRG1L	1	3625002	3630127	+	protein_coding
ENSG00000116213	WRAP73	1	3630767	3652761	-	protein_coding
ENSG00000078900	TP73	1	3652520	3736201	+	protein_coding
ENSG00000227589	RP5-1092A11.5	1	3658938	3668772	-	antisense
ENSG00000235131	RP5-1092A11.2	1	3712200	3714298	-	antisense
ENSG00000227372	TP73-AS1	1	3735601	3747336	-	antisense
ENSG00000276189	TP73-AS1	1	3736943	3737103	+	misc_RNA
ENSG00000162592	CCDC27	1	3752398	3771645	+	protein_coding
ENSG00000235169	SMIM1	1	3772788	3775982	+	protein_coding
ENSG00000130764	LRRC47	1	3778558	3796504	-	protein_coding
ENSG00000266075	RN7SL574P	1	3782815	3783111	+	misc_RNA
ENSG00000272153	RP1-286D6.5	1	3785008	3785538	+	antisense
ENSG00000116198	CEP104	1	3812081	3857214	-	protein_coding
ENSG00000169598	DFFB	1	3857267	3885429	+	protein_coding
ENSG00000198912	C1orf174	1	3889125	3900293	-	protein_coding
ENSG00000236423	LINC01134	1	3900372	3917225	+	lincRNA
ENSG00000233304	LINC01346	1	3940565	3955262	+	lincRNA
ENSG00000226374	RP13-614K11.2	1	3944547	3948980	-	lincRNA
ENSG00000229280	EEF1DP6	1	4175528	4175899	-	processed_pseudogene
ENSG00000235054	RP5-1166F10.1	1	4412027	4424689	+	lincRNA
ENSG00000227169	RP1-37J18.1	1	4551735	4552145	-	lincRNA
ENSG00000232596	RP1-37J18.2	1	4571481	4594009	+	lincRNA
ENSG00000196581	AJAP1	1	4654732	4792534	+	protein_coding
ENSG00000277731	AL137795.1	1	4892068	4892162	-	miRNA
ENSG00000231510	RP11-542C10.1	1	5086459	5090899	-	lincRNA
ENSG00000260972	RP1-58B11.1	1	5492978	5494674	+	lincRNA
ENSG00000264341	MIR4417	1	5564071	5564143	+	miRNA
ENSG00000236948	RP11-154H17.1	1	5587368	5668295	-	lincRNA
ENSG00000216045	AL356693.1	1	5815871	5815959	-	miRNA
ENSG00000264101	MIR4689	1	5862672	5862741	-	miRNA
ENSG00000131697	NPHP4	1	5862811	5992473	-	protein_coding
ENSG00000266687	AL356261.1	1	5893839	5893924	-	miRNA
ENSG00000069424	KCNAB2	1	5991466	6101193	+	protein_coding
ENSG00000116254	CHD5	1	6101793	6180123	-	protein_coding
ENSG00000116251	RPL22	1	6181269	6209389	-	protein_coding
ENSG00000226944	RP1-120G22.11	1	6204840	6205780	-	antisense
ENSG00000158286	RNF207	1	6205475	6221299	+	protein_coding
ENSG00000116237	ICMT	1	6221193	6235972	-	protein_coding
ENSG00000225077	LINC00337	1	6236240	6239444	+	lincRNA
ENSG00000173673	HES3	1	6244192	6245578	+	protein_coding
ENSG00000158292	GPR153	1	6247346	6260975	-	protein_coding
ENSG00000097021	ACOT7	1	6264269	6394391	-	protein_coding
ENSG00000271746	RP1-202O8.3	1	6393555	6394391	+	antisense
ENSG00000069812	HES2	1	6412418	6424670	-	protein_coding
ENSG00000187017	ESPN	1	6424788	6461370	+	protein_coding
ENSG00000265392	MIR4252	1	6429834	6429896	-	miRNA
ENSG00000231868	RP1-202O8.2	1	6443034	6447006	-	antisense
ENSG00000215788	TNFRSF25	1	6461151	6466195	-	protein_coding
ENSG00000171680	PLEKHG5	1	6466092	6520061	-	protein_coding
ENSG00000162408	NOL9	1	6521347	6554535	-	protein_coding
ENSG00000253022	RNU6-731P	1	6540854	6540964	+	snRNA
ENSG00000229519	RP11-58A11.2	1	6547905	6548619	+	processed_pseudogene
ENSG00000173662	TAS1R1	1	6555181	6579757	+	protein_coding
ENSG00000204859	ZBTB48	1	6580001	6589280	+	protein_coding
ENSG00000162413	KLHL21	1	6590724	6614607	-	protein_coding
ENSG00000116273	PHF13	1	6613685	6624033	+	protein_coding
ENSG00000041988	THAP3	1	6624866	6635586	+	protein_coding
ENSG00000007923	DNAJC11	1	6634168	6701924	-	protein_coding
ENSG00000228750	RP11-242F24.1	1	6724637	6730012	+	lincRNA
ENSG00000237436	RP11-312B8.1	1	6783892	6784843	-	antisense
ENSG00000171735	CAMTA1	1	6785324	7769706	+	protein_coding
ENSG00000227950	RP11-312B8.2	1	6834333	6834618	-	processed_pseudogene
ENSG00000237365	RP11-334N17.1	1	7008376	7014279	-	antisense
ENSG00000207056	RNU1-8P	1	7219360	7219524	+	snRNA
ENSG00000280801	Z98052.1	1	7264193	7264277	+	miRNA
ENSG00000237402	CAMTA1-IT1	1	7368942	7370270	+	sense_intronic
ENSG00000237728	RP3-453P22.2	1	7382487	7389754	-	antisense
ENSG00000225126	RP4-549F15.1	1	7441096	7441554	-	antisense
ENSG00000270171	RP11-338N10.1	1	7693124	7694844	-	lincRNA
ENSG00000270035	RP11-338N10.2	1	7698303	7698872	-	lincRNA
ENSG00000269978	RP11-338N10.3	1	7700704	7700970	-	lincRNA
ENSG00000049245	VAMP3	1	7771269	7781432	+	protein_coding
ENSG00000269925	RP3-467L1.6	1	7776383	7776775	+	sense_intronic
ENSG00000049246	PER3	1	7784320	7845177	+	protein_coding
ENSG00000236266	RP3-467L1.4	1	7810242	7827342	-	antisense
ENSG00000049247	UTS2	1	7843083	7853512	-	protein_coding
ENSG00000049249	TNFRSF9	1	7915894	7943165	-	protein_coding
ENSG00000270330	RP5-892F13.2	1	7942372	7942726	+	processed_pseudogene
ENSG00000116288	PARK7	1	7954291	7985505	+	protein_coding
ENSG00000200344	Y_RNA	1	7982881	7982983	-	misc_RNA
ENSG00000116285	ERRFI1	1	8004404	8026308	-	protein_coding
ENSG00000238290	RP11-431K24.1	1	8026738	8122702	+	lincRNA
ENSG00000232848	CTA-215D11.4	1	8057245	8058463	-	processed_pseudogene
ENSG00000229305	RP11-431K24.2	1	8189824	8192770	+	processed_pseudogene
ENSG00000227634	RP11-431K24.3	1	8202429	8215210	+	lincRNA
ENSG00000200975	RNU1-7P	1	8206434	8206597	-	snRNA
ENSG00000233645	RP11-431K24.4	1	8218190	8220529	-	lincRNA
ENSG00000251977	RNU6-991P	1	8292157	8292263	-	snRNA
ENSG00000162426	SLC45A1	1	8317826	8344167	+	protein_coding
ENSG00000252254	Y_RNA	1	8328067	8328179	+	misc_RNA
ENSG00000142599	RERE	1	8352397	8817643	-	protein_coding
ENSG00000232912	RP5-1115A15.1	1	8424645	8434838	+	antisense
ENSG00000221083	SNORA77	1	8511795	8511919	-	snoRNA
ENSG00000270282	RP5-1115A15.2	1	8512653	8513021	+	processed_pseudogene
ENSG00000280851	AL096855.1	1	8512985	8513065	-	miRNA
ENSG00000234619	RPL7P11	1	8750430	8751087	+	processed_pseudogene
ENSG00000224315	RPL7P7	1	8786211	8786913	-	processed_pseudogene
ENSG00000222511	Y_RNA	1	8796571	8796673	-	misc_RNA
ENSG00000226545	RP4-633I8.3	1	8798475	8799506	+	unprocessed_pseudogene
ENSG00000228423	RP4-633I8.4	1	8805860	8807051	-	lincRNA
ENSG00000229716	RPL23AP19	1	8831007	8831375	+	processed_pseudogene
ENSG00000074800	ENO1	1	8861002	8879249	-	protein_coding
ENSG00000280816	Metazoa_SRP	1	8862002	8862260	+	misc_RNA
ENSG00000274258	MIR6728	1	8866502	8866590	-	miRNA
ENSG00000236269	ENO1-IT1	1	8875788	8878007	-	sense_intronic
ENSG00000230679	ENO1-AS1	1	8878835	8879894	+	antisense
ENSG00000201725	RNU6-304P	1	8883427	8883533	-	snRNA
ENSG00000238249	HMGN2P17	1	8893409	8894151	+	processed_pseudogene
ENSG00000232208	RP3-477M7.5	1	8907393	8907744	-	processed_pseudogene
ENSG00000232663	RP3-477M7.6	1	8909742	8909904	+	processed_pseudogene
ENSG00000131686	CA6	1	8945867	8975092	+	protein_coding
ENSG00000265141	RN7SL451P	1	8979576	8979874	-	misc_RNA
ENSG00000197241	SLC2A7	1	9003300	9026345	-	protein_coding
ENSG00000142583	SLC2A5	1	9035107	9088478	-	protein_coding
ENSG00000252404	SCARNA16	1	9082696	9082879	+	scaRNA
ENSG00000281506	AL158048.1	1	9082803	9082880	+	miRNA
ENSG00000180758	GPR157	1	9100305	9129170	-	protein_coding
ENSG00000228526	MIR34AHG	1	9148011	9196983	-	lincRNA
ENSG00000207865	MIR34A	1	9151668	9151777	-	miRNA
ENSG00000234546	RP3-510D11.2	1	9182004	9196284	+	lincRNA
ENSG00000281937	RP3-510D11.4	1	9197143	9198906	-	lincRNA
ENSG00000049239	H6PD	1	9234775	9271337	+	protein_coding
ENSG00000171621	SPSB1	1	9292880	9369532	+	protein_coding
ENSG00000252956	RNA5SP40	1	9437669	9437778	-	rRNA
ENSG00000235263	RP13-392I16.1	1	9501092	9503471	-	lincRNA
ENSG00000171612	SLC25A33	1	9539482	9585179	+	protein_coding
ENSG00000231181	RP13-15M17.1	1	9576427	9576985	+	processed_pseudogene
ENSG00000188807	TMEM201	1	9588922	9614873	+	protein_coding
ENSG00000171608	PIK3CD	1	9651732	9729114	+	protein_coding
ENSG00000179840	PIK3CD-AS1	1	9652610	9654586	-	antisense
ENSG00000233268	RP11-558F24.2	1	9660828	9662626	-	processed_pseudogene
ENSG00000231789	PIK3CD-AS2	1	9672426	9687555	-	antisense
ENSG00000171603	CLSTN1	1	9729026	9824526	-	protein_coding
ENSG00000271264	MZT1P1	1	9780822	9781240	+	processed_pseudogene
ENSG00000280113	AL357140.1	1	9827610	9828258	-	protein_coding
ENSG00000178585	CTNNBIP1	1	9848276	9910336	-	protein_coding
ENSG00000223989	RP11-84A14.5	1	9848318	9850154	+	antisense
ENSG00000162441	LZIC	1	9922113	9943407	-	protein_coding
ENSG00000228150	RP11-84A14.4	1	9942923	9949974	+	sense_intronic
ENSG00000173614	NMNAT1	1	9943428	9985501	+	protein_coding
ENSG00000202415	RN7SKP269	1	9947318	9947636	+	misc_RNA
ENSG00000265521	MIR5697	1	9967381	9967458	+	miRNA
ENSG00000241326	RP11-807G9.2	1	9983141	9984568	+	sense_intronic
ENSG00000162444	RBP7	1	9997206	10016020	+	protein_coding
ENSG00000130939	UBE4B	1	10032832	10181239	+	protein_coding
ENSG00000224340	RP11-496H15.2	1	10054445	10054781	-	processed_pseudogene
ENSG00000233623	PGAM1P11	1	10058671	10059648	+	processed_pseudogene
ENSG00000201746	RNU6-828P	1	10163268	10163374	+	snRNA
ENSG00000054523	KIF1B	1	10210805	10381603	+	protein_coding
ENSG00000264881	MIR1273D	1	10227718	10227803	+	miRNA
ENSG00000199562	RNU6-37P	1	10298966	10299072	+	snRNA
ENSG00000264501	RN7SL731P	1	10306465	10306757	+	misc_RNA
ENSG00000142657	PGD	1	10398592	10420144	+	protein_coding
ENSG00000271989	RP4-736L20.3	1	10429881	10430677	-	antisense
ENSG00000251503	APITD1-CORT	1	10430102	10452153	+	protein_coding
ENSG00000175279	APITD1	1	10430443	10442809	+	protein_coding
ENSG00000241563	CORT	1	10449719	10451902	+	protein_coding
ENSG00000160049	DFFA	1	10456522	10472526	-	protein_coding
ENSG00000203469	RP5-1113E3.3	1	10458555	10459338	+	antisense
ENSG00000142655	PEX14	1	10472288	10630758	+	protein_coding
ENSG00000243267	RN7SL614P	1	10616836	10617115	+	misc_RNA
ENSG00000130940	CASZ1	1	10636604	10796650	-	protein_coding
ENSG00000272078	RP4-734G22.3	1	10639241	10654333	+	antisense
ENSG00000225158	HSPE1P24	1	10895761	10895998	+	processed_pseudogene
ENSG00000175262	C1orf127	1	10946471	10982037	-	protein_coding
ENSG00000215785	CFL1P6	1	10990978	10991797	-	processed_pseudogene
ENSG00000264181	AL713997.1	1	10998176	10998263	-	miRNA
ENSG00000281322	Y_RNA	1	10999862	10999945	-	misc_RNA
ENSG00000120948	TARDBP	1	11012344	11026420	+	protein_coding
ENSG00000277726	RP4-635E18.9	1	11012662	11030528	+	protein_coding
ENSG00000009724	MASP2	1	11026523	11047233	-	protein_coding
ENSG00000271895	RP4-635E18.8	1	11029659	11030528	+	antisense
ENSG00000116649	SRM	1	11054584	11060024	-	protein_coding
ENSG00000171824	EXOSC10	1	11066618	11099881	-	protein_coding
ENSG00000226849	RP4-635E18.7	1	11068471	11073097	+	antisense
ENSG00000281350	Metazoa_SRP	1	11070091	11070353	+	misc_RNA
ENSG00000230337	RP4-635E18.6	1	11099675	11102100	+	antisense
ENSG00000198793	MTOR	1	11106535	11262507	-	protein_coding
ENSG00000225602	MTOR-AS1	1	11143898	11149537	+	antisense
ENSG00000253086	RNU6-537P	1	11152350	11152452	+	snRNA
ENSG00000171819	ANGPTL7	1	11189341	11195981	+	protein_coding
ENSG00000207451	RNU6-291P	1	11226254	11226360	+	snRNA
ENSG00000238173	RPL39P6	1	11232963	11233112	+	processed_pseudogene
ENSG00000120942	UBIAD1	1	11273206	11296049	+	protein_coding
ENSG00000238199	UBE2V2P3	1	11278616	11279351	-	processed_pseudogene
ENSG00000224338	RP11-149P14.1	1	11425257	11425821	-	processed_pseudogene
ENSG00000204624	PTCHD2	1	11479166	11537584	+	protein_coding
ENSG00000235643	RP1-69M21.2	1	11609531	11613355	+	lincRNA
ENSG00000116661	FBXO2	1	11648367	11655785	-	protein_coding
ENSG00000132879	FBXO44	1	11654375	11663327	+	protein_coding
ENSG00000116663	FBXO6	1	11664124	11674354	+	protein_coding
ENSG00000116670	MAD2L2	1	11674480	11691650	-	protein_coding
ENSG00000162490	DRAXIN	1	11691729	11725857	+	protein_coding
ENSG00000177674	AGTRAP	1	11736084	11754802	+	protein_coding
ENSG00000215910	C1orf167	1	11761787	11789585	+	protein_coding
ENSG00000177553	RP11-56N19.5	1	11777077	11779619	-	antisense
ENSG00000177000	MTHFR	1	11785723	11806920	-	protein_coding
ENSG00000011021	CLCN6	1	11806096	11843144	+	protein_coding
ENSG00000242349	NPPA-AS1	1	11841017	11848079	+	antisense
ENSG00000276470	NPPA-AS1_1	1	11843812	11843984	+	misc_RNA
ENSG00000278852	NPPA-AS1_2	1	11845549	11845697	+	misc_RNA
ENSG00000175206	NPPA	1	11845709	11848345	-	protein_coding
ENSG00000275915	NPPA-AS1_3	1	11847442	11847549	+	misc_RNA
ENSG00000120937	NPPB	1	11857464	11858931	-	protein_coding
ENSG00000224904	RP5-934G17.6	1	11877770	11880406	+	processed_pseudogene
ENSG00000199347	RNU5E-1	1	11908152	11908271	+	snRNA
ENSG00000201801	RNU5E-4P	1	11909808	11909927	-	snRNA
ENSG00000116685	KIAA2013	1	11919591	11926428	-	protein_coding
ENSG00000083444	PLOD1	1	11934205	11975538	+	protein_coding
ENSG00000116688	MFN2	1	11980181	12013514	+	protein_coding
