symbol	hgnc_id	chr	diagnostic_category	coding_sequence_variant	frameshift_variant	inframe_deletion	inframe_insertion	initiator_codon_variant	missense_variant	splice_acceptor_variant	splice_donor_variant	stop_gained	stop_lost	stop_retained_variant	synonymous_variant	PTV_enrichment_p	power_median	s_het	observed_full	expected_full	enrich_all_p_full	enrich_mis_p_full	cluster_p_full	denovoWEST_p_full	observed_ud	expected_ud	enrich_all_p_ud	enrich_mis_p_ud	cluster_p_ud	denovoWEST_p_ud	denovoWEST_p_ud_synmod	gnomad_oe_syn	significant
PPM1D	9277	17	consensus	0	14	0	0	0	1	0	0	9	0	0	0	0	0.81735145	0.01546399	13.29658006	0.728940241	1.03E-20	1	NA	1.03E-20	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
ZNF292	18410	6	discordant	0	11	1	0	0	5	0	0	7	0	0	3	0	0.999924768	0.138705546	11.33132093	1.031056908	1.17E-20	0.321963005	0.008355992	1.17E-20	9.913535155	0.806307881	1.95E-19	0.37208039	0.00969899	1.95E-19	NA	NA	TRUE
KCNH1	6250	1	consensus	0	0	0	0	0	13	0	0	0	0	0	0	0.215107522	0.861964687	0.049826234	9.24194408	0.777639379	5.72E-13	2.72E-14	1.01E-08	1.39E-20	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
MYT1L	7623	2	consensus	0	6	0	0	0	14	0	3	2	0	0	1	2.22E-15	0.973518788	0.109811072	11.8932166	0.895444729	5.32E-20	3.46E-08	0.071602928	5.32E-20	0.001	0.700256346	1	1	NA	1	NA	NA	TRUE
KMT5B	24283	11	consensus	0	4	0	0	0	5	0	0	9	0	0	0	0	0.858761236	0.409281994	13.91305405	0.803238617	5.34E-20	0.001466646	0.1003769	5.34E-20	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
EEF1A2	3192	20	consensus	0	1	0	0	0	21	0	0	0	0	0	1	0.005511073	0.349924018	0.204239255	16.82014765	1.10235008	1.00E-14	1.40E-19	0.009326991	6.42E-20	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NFIX	7788	19	consensus	0	8	0	0	0	10	0	2	1	0	0	0	0	0.406682779	0.23073883	16.71200705	1.136571245	6.49E-20	3.28E-06	2.90E-05	6.49E-20	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
EBF3	19087	10	consensus	0	5	1	0	0	17	1	5	6	0	0	3	0	0.71563483	0.173148954	28.29757887	1.163754097	1.00E-14	1.99E-15	7.50E-07	7.29E-20	0.002	0.910079834	1	1	NA	1	NA	NA	TRUE
SOX5	11201	12	consensus	0	3	0	0	0	11	1	1	5	0	0	2	1.67E-15	0.817611769	0.044832958	12.68957951	0.581393086	1.00E-14	1.65E-13	1.01E-08	8.15E-20	0.001	0.454661448	1	1	NA	1	NA	NA	TRUE
GNB1	4396	1	consensus	0	0	1	0	0	17	0	0	0	0	0	0	0.106331576	0.374867628	0.253558404	10.77298567	0.658224813	2.17E-13	7.47E-14	2.33E-08	8.48E-20	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
SMARCA2	11098	9	consensus	0	0	0	0	0	36	0	0	0	0	0	4	0.387095561	0.998530959	0.110993516	21.49250734	1.875119087	1.00E-14	1.00E-14	2.22E-07	1.08E-19	0.003	1.466382008	1	1	NA	1	NA	NA	TRUE
TCF4	11634	18	consensus	0	14	0	0	0	21	3	3	13	0	0	0	1.11E-16	0.82668221	0.085599296	30.08948593	0.794881223	1.00E-14	1.00E-14	2.22E-07	1.08E-19	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
SIN3A	19353	15	consensus	0	10	0	0	0	4	0	0	7	0	0	2	0	0.991056836	0.531233531	17.26624776	1.498756228	1.49E-19	0.138066358	0.75986524	1.49E-19	0.001	1.172058447	1	1	NA	1	NA	NA	TRUE
SMARCA4	11100	19	consensus	0	2	1	0	0	43	0	1	0	0	0	4	0.001617966	0.998515988	0.355063294	36.16689553	3.14328495	1.00E-14	1.00E-14	4.00E-07	1.92E-19	0.003	2.458114008	1	1	NA	1	NA	NA	TRUE
HECW2	29853	2	consensus	0	2	0	0	0	20	0	0	0	0	0	2	0.012720798	0.998020594	0.049153362	6.73222143	0.988991198	9.51E-10	5.33E-13	1.01E-08	2.57E-19	0.002	0.773411624	1	1	NA	1	NA	NA	TRUE
FGFR3	3690	4	consensus	0	0	0	0	0	23	0	0	0	0	0	5	0.213132507	0.8555178	0.016818791	4.217763882	0.597152653	7.23E-08	6.68E-13	1.01E-08	3.20E-19	0.003	0.466985757	1	1	NA	1	NA	NA	TRUE
NAA15	30782	4	consensus	0	7	0	0	0	5	1	2	5	0	0	2	0	0.875476245	0.089947296	10.51228097	0.561968616	3.35E-19	0.000328324	0.171570828	3.35E-19	0.002	0.43947111	1	1	NA	1	NA	NA	TRUE
MSL2	25544	3	novel	0	9	0	0	0	4	0	0	0	0	0	0	4.44E-16	0.499222267	0.117456632	6.515939714	0.223025964	4.32E-19	0.00500021	0.75967624	4.32E-19	5.221911157	0.174410928	5.17E-15	0.002132556	0.759386241	5.17E-15	1.34E-11	1.2689	TRUE
DEAF1	14677	11	consensus	0	0	0	0	0	18	0	1	0	0	0	1	0.01091752	0.652041162	0.026986823	4.237443822	0.364445283	1.27E-09	2.62E-14	1.00E-06	1.21E-18	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
ATP1A3	801	19	consensus	0	0	1	1	0	31	0	0	2	0	0	3	0.002691987	0.919087833	0.424257572	27.1762905	2.030763676	1.00E-14	1.00E-14	3.00E-06	1.38E-18	0.003	1.588099303	1	1	NA	1	NA	NA	TRUE
TRAF7	20456	16	consensus	0	0	0	0	0	25	0	0	1	0	0	0	0.018883568	0.863662507	0.033349265	6.819148321	0.42854463	5.10E-16	1.00E-14	3.00E-06	1.38E-18	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
CDKL5	11411	X	consensus	0	2	0	0	0	8	3	1	2	0	0	0	1.55E-12	0.858618811	0.017337317	9.272030308	0.386581279	2.20E-18	2.69E-10	0.000137	2.20E-18	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NR2F1	7975	5	consensus	0	0	1	0	1	27	0	0	0	0	0	0	0.105279106	0.366647306	NA	7.192975628	0.418573467	4.25E-16	1.00E-14	6.00E-06	2.72E-18	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
H3F3A	4764	1	novel	0	0	0	0	0	14	0	0	0	0	0	0	0.033933501	0.036808322	0.183889198	9.214725855	0.321276999	2.94E-16	6.95E-19	0.118580881	3.70E-18	9.214725855	0.251245275	3.41E-18	1.00E-14	0.118546881	3.41E-18	NA	NA	TRUE
PPP2R1A	9302	19	consensus	0	0	0	0	2	15	0	0	1	0	0	0	0.011979345	0.693104323	0.043898998	10.18024218	0.788430383	5.09E-14	6.83E-14	2.00E-06	6.07E-18	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
CLTC	2092	17	consensus	0	3	2	0	0	12	1	3	6	0	0	3	3.33E-16	0.997789055	0.244067524	21.9141655	2.609119189	6.14E-18	6.81E-06	0.007146993	6.14E-18	0.003	2.040385307	1	1	NA	1	NA	NA	TRUE
PTPN11	9644	12	consensus	0	0	0	0	0	62	0	0	0	0	0	0	0.170579382	0.796403629	0.200463269	30.98472947	0.687097336	1.00E-14	1.00E-14	1.90E-05	8.38E-18	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
CASK	1497	X	consensus	0	3	1	0	0	16	1	3	19	0	0	0	0	0.890656226	0.085974991	17.0518707	0.314205116	1.00E-14	1.14E-18	0.225018775	1.13E-17	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
ITPR1	6180	3	consensus	0	0	1	0	0	40	1	0	0	0	0	2	0.185453937	0.999997614	0.129426594	11.302948	1.624940747	1.75E-15	1.00E-14	3.00E-05	1.31E-17	0.001	1.270737358	1	1	NA	1	NA	NA	TRUE
IQSEC2	29059	X	consensus	0	14	0	1	0	15	1	1	14	0	0	1	0	0.896461644	NA	26.08029116	0.941824196	1.00E-14	3.11E-13	1.00E-06	1.36E-17	0.001	0.717349551	1	1	NA	1	NA	NA	TRUE
GRIN2A	4585	16	consensus	0	0	0	0	0	18	0	0	1	0	0	3	0.043655656	0.976535447	0.10337857	9.326652385	0.970966214	1.58E-12	1.62E-13	2.00E-06	1.42E-17	0.002	0.759315713	1	1	NA	1	NA	NA	TRUE
KCNT1	18865	9	consensus	0	0	2	0	0	22	0	0	0	0	0	3	0.291370962	0.983301061	0.02655131	5.575375556	0.873789887	2.36E-09	2.18E-13	3.00E-06	2.81E-17	0.002	0.68332181	1	1	NA	1	NA	NA	TRUE
GNAI1	4384	7	discordant	0	0	3	0	0	13	0	0	0	0	0	0	0.092653425	0.458166925	0.100630744	4.472215376	0.225210686	6.30E-12	2.76E-15	0.000268	3.17E-17	4.166267176	0.176119426	6.50E-12	4.18E-15	0.001029999	1.76E-16	NA	NA	TRUE
MEF2C	6996	5	consensus	0	8	0	0	0	15	2	2	4	0	0	1	0	0.603225332	0.026659764	18.61353907	0.651531871	1.00E-14	2.13E-14	3.50E-05	3.18E-17	0.001	0.509511433	1	1	NA	1	NA	NA	TRUE
AUTS2	14262	7	consensus	0	5	0	0	0	5	0	2	11	0	0	3	0	0.980600317	0.067270537	10.29229756	0.991371999	3.28E-17	0.243586854	0.295906704	3.28E-17	0.003	0.77527346	1	1	NA	1	NA	NA	TRUE
KDM6A	12637	X	consensus	0	5	0	0	0	9	0	1	4	0	0	0	6.62E-14	0.970879576	0.175065474	12.39856149	0.727445091	3.47E-17	3.47E-06	0.012887987	3.47E-17	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
DYRK1A	3091	21	consensus	0	35	2	1	0	15	5	4	30	0	0	0	0	0.887249378	0.129493096	56.37522235	0.875810795	1.00E-14	6.97E-15	0.000118	3.51E-17	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
TRIO	12303	5	consensus	0	1	1	0	0	29	0	1	1	0	0	2	0.013491247	0.999999609	0.186234757	14.99921648	3.580531756	1.65E-09	1.45E-10	1.01E-08	6.16E-17	0.002	2.800050077	1	1	NA	1	NA	NA	TRUE
DYNC1H1	2961	14	consensus	0	1	2	0	0	70	0	0	0	0	0	5	0.375736435	1	0.420020834	56.19057281	7.934789737	1.00E-14	1.00E-14	0.000152	6.39E-17	0.005	6.205170105	1	1	NA	1	NA	NA	TRUE
STXBP1	11444	9	consensus	0	14	2	1	0	47	3	0	14	0	0	1	0	0.774295705	0.18615445	66.41256704	1.202838257	1.00E-14	1.00E-14	0.000264	1.09E-16	0.001	0.940644458	1	1	NA	1	NA	NA	TRUE
MN1	7180	22	discordant	0	4	0	0	0	2	0	0	9	0	0	1	0	0.94019155	NA	8.723813234	0.857431352	1.11E-16	1	0.537408463	1.11E-16	8.723813234	0.670529097	1.24E-19	1	0.537275463	1.24E-19	NA	NA	TRUE
PUF60	17042	8	consensus	0	6	4	1	0	6	1	2	4	0	0	1	0	0.643451673	0.034822231	10.76068897	0.671779622	1.24E-16	0.000580724	0.636635363	1.24E-16	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
DNMT3A	2978	2	consensus	0	3	1	0	0	27	0	0	5	0	0	1	1.69E-11	0.919782214	0.002902333	12.43533076	0.711923263	1.00E-14	1.00E-14	0.000409	1.68E-16	0.001	0.556738754	1	1	NA	1	NA	NA	TRUE
TRIP12	12306	2	consensus	0	6	0	1	0	8	0	3	6	0	0	3	0	0.99987219	0.660254755	19.17607455	2.412596185	1.70E-16	0.001833914	0.168862831	1.70E-16	0.001	1.886700242	1	1	NA	1	NA	NA	TRUE
KMT2A	7132	11	consensus	0	50	3	1	0	28	3	7	34	0	0	3	0	0.999999996	0.216813072	94.91077244	3.164564014	1.00E-14	5.51E-10	1.01E-08	2.27E-16	0.002	2.474754677	1	1	NA	1	NA	NA	TRUE
DNM1	2972	9	consensus	0	0	1	0	0	20	0	0	0	0	0	1	0.237073547	0.919511121	0.103294237	14.51186123	1.623267182	2.16E-14	8.56E-15	0.000707999	2.46E-16	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
MAP3K7	6859	6	discordant	0	0	1	0	0	12	0	0	0	0	0	0	0.17342822	0.808873576	0.206859369	9.96608567	0.778523152	7.13E-12	1.94E-13	3.30E-05	2.60E-16	9.96608567	0.608821248	3.11E-13	8.21E-15	2.60E-05	9.39E-18	NA	NA	TRUE
KRAS	6407	12	consensus	0	0	0	0	0	7	0	0	0	0	0	0	0.049900749	0.113571282	0.003183955	5.2234664	0.188695135	1.13E-10	2.25E-11	4.00E-07	3.62E-16	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
GABRA1	4075	5	consensus	0	0	0	0	0	14	0	0	0	0	0	1	0.110069003	0.404099568	0.116990174	9.11116038	0.458098275	2.13E-14	5.91E-15	0.001556998	3.70E-16	0.001	0.35824235	1	1	NA	1	NA	NA	TRUE
SCN8A	10596	12	consensus	0	0	0	0	0	42	0	1	1	0	0	0	0.015541444	0.99921279	0.223922948	30.12459153	2.772239864	1.00E-14	1.00E-14	0.000952235	3.83E-16	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
TBL1XR1	29529	3	consensus	0	4	2	1	0	22	1	1	1	0	0	1	7.77E-12	0.657148653	0.33441331	25.1061896	0.737705143	1.00E-14	1.00E-14	0.000992999	3.99E-16	0.001	0.576900719	1	1	NA	1	NA	NA	TRUE
FBXO11	13590	2	consensus	0	3	0	0	0	15	2	0	1	0	0	0	2.43E-08	0.941240131	0.261167095	14.55472961	1.152140395	4.24E-16	3.30E-12	0.068730931	4.24E-16	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
CHD8	20153	14	consensus	0	6	0	0	0	9	1	1	11	0	0	0	1.11E-16	0.999997351	0.155416373	21.94243542	3.262757111	4.28E-16	0.017491598	0.015281985	4.28E-16	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
PBX1	8632	1	discordant	0	0	0	0	0	10	0	0	2	0	0	0	0.0003455	0.507317363	0.0493428	8.3709019	0.55595358	4.97E-12	7.75E-11	1.82E-07	5.61E-16	8.3709019	0.434767228	2.55E-13	6.32E-12	4.00E-07	1.05E-16	NA	NA	TRUE
MED12	11957	X	consensus	0	3	1	0	0	20	2	0	4	0	0	1	1.17E-10	0.998171693	0.583941063	21.66898545	1.618082775	1.00E-14	5.09E-15	0.003756996	7.56E-16	0.001	1.23242847	1	1	NA	1	NA	NA	TRUE
EP300	3373	22	consensus	0	14	1	0	1	24	3	1	15	1	0	4	1.11E-16	0.99998311	0.200487242	45.6201801	2.772809255	1.00E-14	1.01E-14	0.002156998	8.61E-16	0.003	2.168394333	1	1	NA	1	NA	NA	TRUE
SETBP1	15573	18	consensus	1	4	0	0	0	12	0	0	8	0	0	2	1.11E-16	0.986856779	0.077880305	9.28597087	0.846501707	9.04E-16	0.00051497	1.01E-08	9.04E-16	0.002	0.661981887	1	1	NA	1	NA	NA	TRUE
SCN2A	10588	2	consensus	0	12	1	0	0	58	0	6	9	0	0	1	0	0.999510006	0.257771077	53.263124	1.936469884	1.00E-14	1.00E-14	0.002396998	9.41E-16	0.001	1.514359602	1	1	NA	1	NA	NA	TRUE
SRRM2	16639	16	novel	0	11	0	0	0	7	1	0	5	0	0	4	1.11E-16	0.99999937	NA	10.72417584	1.367773263	1.05E-15	1	0.43026657	1.05E-15	9.756262888	1.069627053	3.77E-16	1	0.287827712	3.77E-16	7.41E-09	1.6748	TRUE
ALG13	30881	X	consensus	0	0	1	0	0	9	0	0	0	0	0	2	0.206891775	0.833626403	0.075275352	2.39979144	0.273891051	2.41E-05	4.04E-09	1.01E-08	1.58E-15	0.002	0.208611781	1	1	NA	1	NA	NA	TRUE
SMC1A	11111	X	consensus	0	5	1	0	0	18	0	0	7	0	0	1	0	0.907165248	0.434972792	24.90638377	1.169144116	1.00E-14	1.03E-16	0.418690581	1.67E-15	0.001	0.890489977	1	1	NA	1	NA	NA	TRUE
PTEN	9588	10	consensus	0	7	1	0	0	20	1	1	7	0	0	1	0	0.422865936	0.126160206	24.05633945	0.41427131	1.00E-14	1.00E-14	0.005182995	2.00E-15	0.001	0.323968755	1	1	NA	1	NA	NA	TRUE
WDR26	21208	1	consensus	0	6	0	0	0	5	0	0	6	0	0	0	1.11E-16	0.810917817	0.363894608	14.75972993	1.198591006	2.85E-15	0.003003618	0.504858495	2.85E-15	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
HUWE1	30892	X	consensus	0	0	0	0	0	36	0	0	0	0	0	1	0.593605867	0.999999606	0.218058963	17.54301309	2.491873948	2.93E-15	1.00E-14	0.021201979	2.93E-15	0.001	1.897960007	1	1	NA	1	NA	NA	TRUE
NSD1	14234	5	consensus	0	18	0	0	0	16	2	1	9	0	0	4	0	0.999981416	0.236632354	38.49876557	2.517960464	1.00E-14	7.72E-11	1.00E-06	2.94E-15	0.004	1.969097294	1	1	NA	1	NA	NA	TRUE
MED13L	22962	12	consensus	0	25	0	0	0	28	4	3	19	0	0	1	1.11E-16	0.999804855	0.144171438	37.19159038	1.296352436	1.00E-14	1.85E-12	7.70E-05	5.34E-15	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
ATP6V0A1	865	17	novel	0	0	0	0	0	11	0	0	0	0	0	1	0.241929773	0.929107901	0.056676622	3.2939848	0.583244683	2.70E-05	1.62E-08	1.01E-08	6.13E-15	3.2939848	0.456109436	4.66E-06	1.04E-09	1.01E-08	4.23E-16	NA	NA	TRUE
PHIP	15673	6	consensus	0	4	2	0	0	13	1	2	4	0	0	1	3.02E-12	0.999927126	0.080139553	12.63720382	1.436000513	7.09E-15	6.85E-07	0.201732798	7.09E-15	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
SLC6A1	11042	3	consensus	0	2	1	0	0	34	0	1	2	0	0	3	2.28E-08	0.692020643	0.283953504	22.11515971	0.689591404	1.00E-14	1.00E-14	0.020693979	7.68E-15	0.003	0.539274777	1	1	NA	1	NA	NA	TRUE
TFE3	11752	X	novel	0	0	0	0	0	9	0	1	0	0	0	0	0.005950185	0.380771825	0.219248329	5.19023934	0.346776223	8.80E-09	1.19E-10	2.00E-06	8.80E-15	5.19023934	0.26412548	1.13E-09	8.15E-12	2.00E-06	6.46E-16	NA	NA	TRUE
ZMYND11	16966	10	consensus	0	3	0	0	0	12	1	0	2	0	0	0	2.76E-09	0.862254166	0.411576632	12.45136126	0.907208539	9.70E-15	4.96E-09	3.90E-05	9.70E-15	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
ADNP	15766	20	consensus	0	46	2	0	0	4	0	0	26	0	0	0	0	0.909683031	0.135996663	44.09319193	0.445338812	1.00E-14	0.05068963	0.005817994	1.00E-14	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
AHDC1	25230	1	consensus	0	29	0	0	0	3	0	0	12	0	0	3	0	0.982340342	0.223051424	37.17289772	1.683320489	1.00E-14	1	0.935928064	1.00E-14	0.002	1.316391527	1	1	NA	1	NA	NA	TRUE
ANKRD11	21316	16	consensus	0	82	3	1	0	17	2	2	25	0	0	7	0	0.999859481	0.177788579	111.4278965	2.949803607	1.00E-14	9.39E-08	0.001548998	1.00E-14	0.007	2.306807586	1	1	NA	1	NA	NA	TRUE
ARID1B	18040	6	consensus	0	64	0	0	0	13	3	5	60	0	0	3	0	0.999825505	0.171574178	121.3130795	2.127641617	1.00E-14	1.83E-05	0.01973698	1.00E-14	0.003	1.663859862	1	1	NA	1	NA	NA	TRUE
ARID2	18037	12	consensus	0	14	0	0	0	0	0	0	9	0	0	0	0	0.997769311	0.225705316	20.76815343	1.684962213	1.00E-14	1	NA	1.00E-14	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
