Gene ID,Gene Symbol,Gene Name,Case PTV,Ctrl PTV,Case mis3,Ctrl mis3,Case mis2,Ctrl mis2,P ca/co (Class 1),P ca/co (Class 2),P ca/co (comb),De novo PTV,De novo mis3,De novo mis2,P de novo,P meta,Q meta,OR (PTV),OR (Class I),OR (Class II)
ENSG00000196646,ZNF136,Zinc finger protein 136,23,25,0,0,0,0,0.00000942,NA,0.00000942,NA,NA,NA,NA,0.00000942,0.0131,3.7 (2-6.79),3.7 (2-6.79),NA
ENSG00000167978,SRRM2,Serine/arginine repetitive matrix 2,16,9,0,0,0,0,0.0000153,NA,0.0000153,NA,NA,NA,NA,0.0000153,0.0194,7.14 (2.97-18.3),7.14 (2.97-18.3),NA
ENSG00000151623,NR3C2,"Nuclear receptor subfamily 3, group C, member 2",7,3,0,0,8,11,0.0000909,0.0335,0.000016,NA,NA,NA,NA,0.000016,0.0194,9.37 (2.14-56.1),9.37 (2.14-56.1),2.92 (1.02-7.97)
ENSG00000121741,ZMYM2,"Zinc finger, MYM-type 2",16,14,1,1,2,3,0.000116,0.307,0.0000667,1,NA,NA,0.0512,0.0000173,0.0196,4.88 (2.26-10.7),4.82 (2.29-10.3),2.68 (0.223-23.4)
ENSG00000048828,FAM120A,Family with sequence similarity 120A,7,1,8,11,2,13,0.0000222,0.839,0.0000222,NA,NA,NA,NA,0.0000222,0.0237,28.1 (3.61-1260),5.02 (2.19-11.7),0.617 (0.0676-2.73)
ENSG00000119906,FAM178A,"Family with sequence similarity 178, member A",19,25,0,0,0,0,0.000025,NA,0.000025,NA,NA,NA,NA,0.000025,0.0245,3.05 (1.59-5.77),3.05 (1.59-5.77),NA
ENSG00000132510,KDM6B,Lysine (K)-specific demethylase 6B,8,5,1,1,22,44,0.000598,0.011,0.0000783,1,NA,NA,0.0652,0.0000257,0.0245,7.23 (2.17-27.5),6.69 (2.2-22.4),2.01 (1.15-3.42)
ENSG00000197959,DNM3,Dynamin 3,11,13,1,0,0,11,0.0000353,0.104,0.0000353,NA,NA,NA,NA,0.0000353,0.032,3.4 (1.38-8.22),3.71 (1.55-8.81),0 (0-1.6)
ENSG00000116539,ASH1L,"Ash1 (absent, small, or homeotic)-like (Drosophila)",9,2,0,0,10,67,0.0000377,0.138,0.0000377,NA,NA,NA,NA,0.0000377,0.0325,18.1 (3.74-172),18.1 (3.74-172),0.599 (0.275-1.17)
ENSG00000118007,STAG1,Stromal antigen 1,6,3,0,0,14,18,0.000756,0.00146,0.0000526,NA,NA,NA,NA,0.0000526,0.0434,8.03 (1.71-49.7),8.03 (1.71-49.7),3.12 (1.44-6.65)
ENSG00000168298,HIST1H1E,"Histone cluster 1, H1e",7,4,0,0,0,0,0.00261,NA,0.00261,1,NA,NA,0.00151,0.0000584,0.0447,7.03 (1.79-32.8),7.03 (1.79-32.8),NA
ENSG00000085377,PREP,Prolyl endopeptidase,10,11,0,0,0,0,0.00048,NA,0.00048,1,NA,NA,0.0233,0.0000599,0.0447,3.65 (1.39-9.47),3.65 (1.39-9.47),NA
ENSG00000155495,MAGEC1,"Melanoma antigen family C, 1",37,66,0,0,0,0,0.0000618,NA,0.0000618,NA,NA,NA,NA,0.0000618,0.0447,2.25 (1.46-3.42),2.25 (1.46-3.42),NA
ENSG00000187391,MAGI2,"Membrane associated guanylate kinase, WW and PDZ domain containing 2",11,5,0,1,13,48,0.000311,0.741,0.000311,1,NA,NA,0.0422,0.0000641,0.0447,9.64 (3.16-34.9),8.03 (2.79-26.1),1.09 (0.54-2.04)
ENSG00000134780,DAGLA,"Diacylglycerol lipase, alpha",9,6,0,0,34,115,0.0000899,0.453,0.0000687,NA,NA,NA,NA,0.0000687,0.0461,6.02 (1.91-20.6),6.02 (1.91-20.6),1.19 (0.784-1.75)
ENSG00000181927,OR4P4,"Olfactory receptor, family 4, subfamily P, member 4",10,4,0,0,0,0,0.0000743,NA,0.0000743,NA,NA,NA,NA,0.0000743,0.0467,10 (2.89-43.9),10 (2.89-43.9),NA
ENSG00000168065,SLC22A11,"Solute carrier family 22 (organic anion/urate transporter), member 11",22,23,0,0,0,0,0.0000756,NA,0.0000756,NA,NA,NA,NA,0.0000756,0.0467,3.84 (2.04-7.21),3.84 (2.04-7.21),NA
ENSG00000101745,ANKRD12,Ankyrin repeat domain 12,23,26,0,0,0,0,0.0000787,NA,0.0000787,NA,NA,NA,NA,0.0000787,0.0467,3.55 (1.94-6.48),3.55 (1.94-6.48),NA
ENSG00000159164,SV2A,Synaptic vesicle glycoprotein 2A,10,7,1,3,8,17,0.00088,0.127,0.00032,NA,NA,1,0.0538,0.0000821,0.0467,5.74 (1.97-17.8),4.42 (1.7-11.6),2.13 (0.835-5.04)
ENSG00000130741,EIF2S3,"Eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa",3,0,0,0,2,2,0.000198,0.179,0.0000823,NA,NA,NA,NA,0.0000823,0.0467,Inf (1.66-Inf),Inf (1.66-Inf),4.01 (0.291-55.3)
ENSG00000186472,PCLO,Piccolo presynaptic cytomatrix protein,20,20,0,0,0,0,0.00013,NA,0.00013,NA,NA,NA,NA,0.00013,0.0706,4.02 (2.05-7.87),4.02 (2.05-7.87),NA
ENSG00000112320,SOBP,Sine oculis binding protein homolog (Drosophila),5,2,0,0,0,0,0.00129,NA,0.00129,1,NA,NA,0.0175,0.000132,0.0706,12 (2.15-122),12 (2.15-122),NA
ENSG00000168000,BSCL2,Berardinelli-Seip congenital lipodystrophy 2 (seipin),14,15,0,0,0,0,0.000222,NA,0.000222,NA,NA,NA,NA,0.000222,0.115,3.75 (1.68-8.33),3.75 (1.68-8.33),NA
ENSG00000153234,NR4A2,"Nuclear receptor subfamily 4, group A, member 2",4,0,0,3,1,0,0.000595,0.18,0.000255,NA,NA,NA,NA,0.000255,0.128,Inf (2.65-Inf),5.35 (0.905-36.5),Inf (0.103-Inf)
ENSG00000171044,XKR6,"XK, Kell blood group complex subunit-related family, member 6",5,0,0,0,14,54,0.00634,0.96,0.00634,NA,NA,2,0.00509,0.00033,0.162,Inf (3.68-Inf),Inf (3.68-Inf),1.04 (0.534-1.9)
ENSG00000054793,ATP9A,"ATPase, class II, type 9A",15,11,0,0,11,36,0.000372,0.665,0.000372,NA,NA,NA,NA,0.000372,0.175,5.48 (2.35-13.2),5.48 (2.35-13.2),1.23 (0.563-2.46)
ENSG00000010810,FYN,"FYN oncogene related to SRC, FGR, YES",7,3,1,0,21,67,0.000596,0.352,0.000375,NA,NA,NA,NA,0.000375,0.175,9.37 (2.14-56.1),10.7 (2.57-62.7),1.26 (0.732-2.08)
ENSG00000095321,CRAT,Carnitine O-acetyltransferase,20,22,0,0,0,0,0.000401,NA,0.000401,NA,NA,NA,NA,0.000401,0.179,3.65 (1.89-7.01),3.65 (1.89-7.01),NA
ENSG00000103148,NPRL3,Nitrogen permease regulator-like 3 (S. cerevisiae),5,5,0,0,0,0,0.00451,NA,0.00451,1,NA,NA,0.0133,0.000412,0.179,4.01 (0.924-17.5),4.01 (0.924-17.5),NA
ENSG00000126461,SCAF1,SR-related CTD-associated factor 1,6,4,0,0,0,0,0.00262,NA,0.00262,1,NA,NA,0.0303,0.000415,0.179,6.02 (1.43-29),6.02 (1.43-29),NA
ENSG00000186732,MPPED1,Metallophosphoesterase domain containing 1,5,3,0,0,1,10,0.0051,0.684,0.0051,NA,NA,1,0.0129,0.000463,0.188,6.69 (1.3-43.1),6.69 (1.3-43.1),0.803 (0.0855-3.77)
ENSG00000157765,SLC34A2,"Solute carrier family 34 (type II sodium/phosphate contransporter), member 2",20,31,0,0,0,0,0.000479,NA,0.000479,NA,NA,NA,NA,0.000479,0.188,2.59 (1.4-4.69),2.59 (1.4-4.69),NA
ENSG00000171467,ZNF318,Zinc finger protein 318,18,30,0,0,0,0,0.00154,NA,0.00154,1,NA,NA,0.0701,0.000479,0.188,2.54 (1.35-4.67),2.54 (1.35-4.67),NA
ENSG00000138028,CGREF1,Cell growth regulator with EF-hand domain 1,20,33,0,0,0,0,0.000487,NA,0.000487,NA,NA,NA,NA,0.000487,0.188,2.43 (1.32-4.37),2.43 (1.32-4.37),NA
ENSG00000196604,POTEF,"POTE ankyrin domain family, member F",16,27,0,0,0,0,0.000488,NA,0.000488,NA,NA,NA,NA,0.000488,0.188,2.38 (1.2-4.58),2.38 (1.2-4.58),NA
ENSG00000164434,FABP7,"Fatty acid binding protein 7, brain",6,4,0,0,0,0,0.000553,NA,0.000553,NA,NA,NA,NA,0.000553,0.206,6.02 (1.43-29),6.02 (1.43-29),NA
ENSG00000160218,TRAPPC10,Trafficking protein particle complex 10,11,8,0,0,0,0,0.000557,NA,0.000557,NA,NA,NA,NA,0.000557,0.206,5.52 (2.02-15.8),5.52 (2.02-15.8),NA
ENSG00000160951,PTGER1,"Prostaglandin E receptor 1 (subtype EP1), 42kDa",6,0,0,0,1,1,0.000622,0.622,0.000585,NA,NA,NA,NA,0.000585,0.212,Inf (4.73-Inf),Inf (4.73-Inf),4.01 (0.0511-314)
ENSG00000197136,PCNXL3,Pecanex-like 3 (Drosophila),12,12,0,0,0,0,0.000637,NA,0.000637,NA,NA,NA,NA,0.000637,0.225,4.02 (1.65-9.77),4.02 (1.65-9.77),NA
ENSG00000113161,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,10,9,0,0,9,51,0.00197,0.407,0.00197,NA,NA,1,0.075,0.000644,0.225,4.46 (1.63-12.4),4.46 (1.63-12.4),0.708 (0.306-1.45)
ENSG00000153956,CACNA2D1,"Calcium channel, voltage-dependent, alpha 2/delta subunit 1",8,7,0,0,2,12,0.00068,1,0.00068,NA,NA,NA,NA,0.00068,0.233,4.59 (1.45-14.9),4.59 (1.45-14.9),0.669 (0.0727-3)
ENSG00000096063,SRPK1,SRSF protein kinase 1,11,14,0,0,0,0,0.000694,NA,0.000694,NA,NA,NA,NA,0.000694,0.233,3.15 (1.3-7.48),3.15 (1.3-7.48),NA
ENSG00000177462,OR2T8,"Olfactory receptor, family 2, subfamily T, member 8",6,2,0,0,0,0,0.00079,NA,0.00079,NA,NA,NA,NA,0.00079,0.258,12 (2.15-122),12 (2.15-122),NA
ENSG00000015171,ZMYND11,"Zinc finger, MYND-type containing 11",8,7,3,5,5,13,0.00519,0.472,0.0039,1,NA,NA,0.0424,0.000802,0.258,5.16 (1.71-16.3),4.02 (1.65-9.77),1.54 (0.431-4.61)
ENSG00000139636,LMBR1L,Limb development membrane protein 1-like,20,29,0,0,0,0,0.000812,NA,0.000812,NA,NA,NA,NA,0.000812,0.258,2.77 (1.48-5.07),2.77 (1.48-5.07),NA
ENSG00000143603,KCNN3,"Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3",6,4,0,0,8,43,0.000908,0.6,0.000908,NA,NA,NA,NA,0.000908,0.282,6.02 (1.43-29),6.02 (1.43-29),0.747 (0.303-1.61)
ENSG00000165300,SLITRK5,"SLIT and NTRK-like family, member 5",5,3,0,0,0,0,0.000917,NA,0.000917,NA,NA,NA,NA,0.000917,0.282,6.69 (1.3-43.1),6.69 (1.3-43.1),NA
ENSG00000077713,SLC25A43,"Solute carrier family 25, member 43",5,1,0,0,0,0,0.000932,NA,0.000932,NA,NA,NA,NA,0.000932,0.282,20.1 (2.25-944),20.1 (2.25-944),NA
ENSG00000163993,S100P,S100 calcium binding protein P,5,3,0,0,0,0,0.000984,NA,0.000984,NA,NA,NA,NA,0.000984,0.293,6.69 (1.3-43.1),6.69 (1.3-43.1),NA
ENSG00000139826,ABHD13,Abhydrolase domain containing 13,6,2,0,0,0,0,0.00106,NA,0.00106,NA,NA,NA,NA,0.00106,0.302,12 (2.15-122),12 (2.15-122),NA
ENSG00000117280,RAB7L1,"RAB7, member RAS oncogene family-like 1",4,1,0,0,0,0,0.00106,NA,0.00106,NA,NA,NA,NA,0.00106,0.302,16.1 (1.59-787),16.1 (1.59-787),NA
ENSG00000133858,ZFC3H1,"Zinc finger, C3H1-type containing",11,10,0,0,0,0,0.00107,NA,0.00107,NA,NA,NA,NA,0.00107,0.302,4.42 (1.7-11.6),4.42 (1.7-11.6),NA
ENSG00000122557,HERPUD2,HERPUD family member 2,6,0,0,0,0,0,0.00108,NA,0.00108,NA,NA,NA,NA,0.00108,0.302,Inf (4.73-Inf),Inf (4.73-Inf),NA
ENSG00000055917,PUM2,Pumilio RNA-binding family member 2,12,15,0,0,0,0,0.00114,NA,0.00114,NA,NA,NA,NA,0.00114,0.314,3.21 (1.37-7.35),3.21 (1.37-7.35),NA
ENSG00000151151,IPMK,Inositol polyphosphate multikinase,4,1,0,0,0,0,0.00136,NA,0.00136,NA,NA,NA,NA,0.00136,0.367,16.1 (1.59-787),16.1 (1.59-787),NA
ENSG00000127603,MACF1,Microtubule-actin crosslinking factor 1,16,19,1,12,5,35,0.00138,0.321,0.00138,NA,NA,NA,NA,0.00138,0.37,3.38 (1.63-6.94),2.2 (1.14-4.1),0.573 (0.175-1.47)
ENSG00000164164,OTUD4,OTU domain containing 4,6,6,0,0,0,0,0.00148,NA,0.00148,NA,NA,NA,NA,0.00148,0.375,4.01 (1.07-15),4.01 (1.07-15),NA
ENSG00000101126,ADNP,Activity-dependent neuroprotector homeobox,4,1,0,0,0,0,0.00149,NA,0.00149,NA,NA,NA,NA,0.00149,0.375,16.1 (1.59-787),16.1 (1.59-787),NA
ENSG00000114646,CSPG5,Chondroitin sulfate proteoglycan 5 (neuroglycan C),6,1,0,0,0,1,0.0015,1,0.0015,NA,NA,NA,NA,0.0015,0.375,24.1 (2.92-1100),24.1 (2.92-1100),0 (0-156)
ENSG00000170035,UBE2E3,Ubiquitin-conjugating enzyme E2E 3,1,1,5,2,4,4,0.00524,0.0572,0.00151,NA,NA,NA,NA,0.00151,0.375,4.01 (0.0511-314),8.03 (1.71-49.7),4.01 (0.748-21.6)
ENSG00000134376,CRB1,Crumbs homolog 1 (Drosophila),23,40,0,0,0,0,0.00152,NA,0.00152,NA,NA,NA,NA,0.00152,0.375,2.31 (1.32-3.95),2.31 (1.32-3.95),NA
ENSG00000018625,ATP1A2,"ATPase, Na+/K+ transporting, alpha 2 polypeptide",10,10,3,3,14,54,0.00153,0.872,0.00153,NA,NA,NA,NA,0.00153,0.375,4.01 (1.5-10.8),4.02 (1.71-9.4),1.04 (0.534-1.9)
ENSG00000164104,HMGB2,High mobility group box 2,3,0,0,0,2,1,0.00378,0.144,0.00155,NA,NA,NA,NA,0.00155,0.375,Inf (1.66-Inf),Inf (1.66-Inf),8.03 (0.418-472)
ENSG00000007062,PROM1,Prominin 1,22,35,0,0,0,0,0.0016,NA,0.0016,NA,NA,NA,NA,0.0016,0.382,2.52 (1.41-4.43),2.52 (1.41-4.43),NA
ENSG00000172171,TEFM,"Transcription elongation factor, mitochondrial",14,16,0,0,0,0,0.00171,NA,0.00171,NA,NA,NA,NA,0.00171,0.403,3.51 (1.59-7.68),3.51 (1.59-7.68),NA
ENSG00000126861,OMG,Oligodendrocyte myelin glycoprotein,6,4,0,0,0,0,0.00177,NA,0.00177,NA,NA,NA,NA,0.00177,0.411,6.02 (1.43-29),6.02 (1.43-29),NA
ENSG00000100105,PATZ1,POZ (BTB) and AT hook containing zinc finger 1,5,0,0,0,9,38,0.00189,1,0.00189,NA,NA,NA,NA,0.00189,0.433,Inf (3.68-Inf),Inf (3.68-Inf),0.951 (0.404-2)
ENSG00000080802,CNOT4,"CCR4-NOT transcription complex, subunit 4",3,0,0,0,7,14,0.00382,0.222,0.00192,NA,NA,NA,NA,0.00192,0.433,Inf (1.66-Inf),Inf (1.66-Inf),2.01 (0.685-5.31)
ENSG00000179915,NRXN1,Neurexin 1,10,8,0,0,1,8,0.00194,1,0.00194,NA,NA,NA,NA,0.00194,0.433,5.02 (1.78-14.6),5.02 (1.78-14.6),0.502 (0.0113-3.74)
ENSG00000105639,JAK3,Janus kinase 3,17,22,0,0,9,15,0.00979,0.0158,0.00197,NA,NA,NA,NA,0.00197,0.433,3.1 (1.55-6.12),3.1 (1.55-6.12),2.41 (0.929-5.88)
ENSG00000102038,SMARCA1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1",4,0,0,0,1,6,0.00199,1,0.00199,NA,NA,NA,NA,0.00199,0.433,Inf (2.65-Inf),Inf (2.65-Inf),0.669 (0.0145-5.51)
ENSG00000102804,TSC22D1,"TSC22 domain family, member 1",7,2,0,0,0,0,0.00201,NA,0.00201,NA,NA,NA,NA,0.00201,0.433,14 (2.68-139),14 (2.68-139),NA
ENSG00000159259,CHAF1B,"Chromatin assembly factor 1, subunit B (p60)",5,3,0,0,4,8,0.00272,0.478,0.00206,NA,NA,NA,NA,0.00206,0.433,6.69 (1.3-43.1),6.69 (1.3-43.1),2.01 (0.442-7.49)
ENSG00000198626,RYR2,Ryanodine receptor 2 (cardiac),20,41,0,0,17,31,0.0177,0.0103,0.00344,1,NA,NA,0.151,0.00208,0.433,1.96 (1.09-3.42),1.96 (1.09-3.42),2.2 (1.14-4.1)
ENSG00000104853,CLPTM1,Cleft lip and palate associated transmembrane protein 1,9,8,0,0,4,18,0.00211,1,0.00211,NA,NA,NA,NA,0.00211,0.433,4.52 (1.55-13.5),4.52 (1.55-13.5),0.892 (0.22-2.71)
ENSG00000099821,POLRMT,Polymerase (RNA) mitochondrial (DNA directed),3,54,0,0,6,19,0.00212,0.577,0.00212,NA,NA,NA,NA,0.00212,0.433,0.223 (0.0446-0.687),0.223 (0.0446-0.687),1.27 (0.414-3.3)
ENSG00000162441,LZIC,Leucine zipper and CTNNBIP1 domain containing,12,9,0,0,0,0,0.00214,NA,0.00214,NA,NA,NA,NA,0.00214,0.433,5.35 (2.07-14.4),5.35 (2.07-14.4),NA
ENSG00000038219,BOD1L1,Biorientation of chromosomes in cell division 1-like 1,17,23,1,4,0,2,0.00216,1,0.00216,NA,NA,NA,NA,0.00216,0.433,2.97 (1.49-5.81),2.68 (1.39-5.04),0 (0-21.4)
ENSG00000166847,DCTN5,Dynactin 5 (p25),13,10,0,0,1,12,0.00219,0.481,0.00219,NA,NA,NA,NA,0.00219,0.433,5.22 (2.11-13.3),5.22 (2.11-13.3),0.334 (0.00783-2.26)
ENSG00000197360,ZNF98,Zinc finger protein 98,10,12,0,0,18,21,0.0115,0.0121,0.00219,NA,NA,NA,NA,0.00219,0.433,3.35 (1.29-8.45),3.35 (1.29-8.45),3.44 (1.73-6.79)
ENSG00000100567,PSMA3,"Proteasome (prosome, macropain) subunit, alpha type, 3",4,1,0,0,4,8,0.00405,0.269,0.00224,NA,NA,NA,NA,0.00224,0.435,16.1 (1.59-787),16.1 (1.59-787),2.01 (0.442-7.49)
ENSG00000154252,GAL3ST2,Galactose-3-O-sulfotransferase 2,11,11,0,0,0,0,0.00226,NA,0.00226,NA,NA,NA,NA,0.00226,0.435,4.01 (1.58-10.2),4.01 (1.58-10.2),NA
ENSG00000116698,SMG7,SMG7 nonsense mediated mRNA decay factor,7,3,0,0,7,14,0.00529,0.167,0.00235,NA,NA,NA,NA,0.00235,0.444,9.37 (2.14-56.1),9.37 (2.14-56.1),2.01 (0.685-5.31)
ENSG00000105835,NAMPT,Nicotinamide phosphoribosyltransferase,6,4,1,0,8,17,0.00562,0.145,0.00236,NA,NA,NA,NA,0.00236,0.444,6.02 (1.43-29),7.03 (1.79-32.8),1.89 (0.706-4.62)
ENSG00000010818,HIVEP2,Human immunodeficiency virus type I enhancer binding protein 2,5,6,3,1,3,4,0.0183,0.148,0.00825,NA,1,NA,0.0653,0.00238,0.444,3.35 (0.808-13.2),5.16 (1.71-16.3),3.01 (0.441-17.8)
ENSG00000205085,FAM71F2,"Family with sequence similarity 71, member F2",10,9,0,0,0,0,0.0024,NA,0.0024,NA,NA,NA,NA,0.0024,0.445,4.46 (1.63-12.4),4.46 (1.63-12.4),NA
ENSG00000149346,SLX4IP,SLX4 interacting protein,18,27,0,0,0,0,0.00243,NA,0.00243,NA,NA,NA,NA,0.00243,0.445,2.68 (1.39-5.04),2.68 (1.39-5.04),NA
ENSG00000248383,PCDHAC1,"Protocadherin alpha subfamily C, 1",23,42,0,0,0,0,0.00251,NA,0.00251,NA,NA,NA,NA,0.00251,0.456,2.2 (1.26-3.74),2.2 (1.26-3.74),NA
ENSG00000187240,DYNC2H1,"Dynein, cytoplasmic 2, heavy chain 1",50,121,0,0,0,0,0.00254,NA,0.00254,NA,NA,NA,NA,0.00254,0.457,1.66 (1.17-2.33),1.66 (1.17-2.33),NA
ENSG00000115966,ATF2,Activating transcription factor 2,4,1,0,2,3,4,0.00519,0.231,0.00267,NA,NA,NA,NA,0.00267,0.472,16.1 (1.59-787),5.35 (0.905-36.5),3.01 (0.441-17.8)
ENSG00000198218,QRICH1,Glutamine-rich 1,4,2,0,0,2,11,0.00268,1,0.00268,NA,NA,NA,NA,0.00268,0.472,8.03 (1.15-88.9),8.03 (1.15-88.9),0.73 (0.0786-3.34)
ENSG00000214050,FBXO16,F-box protein 16,14,21,0,0,0,0,0.0027,NA,0.0027,NA,NA,NA,NA,0.0027,0.472,2.68 (1.26-5.52),2.68 (1.26-5.52),NA
ENSG00000116254,CHD5,Chromodomain helicase DNA binding protein 5,6,10,2,1,49,111,0.0246,0.00154,0.00314,NA,NA,1,0.217,0.00277,0.474,2.41 (0.719-7.31),2.92 (1.02-7.97),1.77 (1.24-2.5)
ENSG00000173876,TUBB8,"Tubulin, beta 8 class VIII",16,28,2,6,14,44,0.0141,0.406,0.00978,NA,NA,1,0.0638,0.00277,0.474,2.29 (1.16-4.39),2.13 (1.13-3.87),1.28 (0.646-2.38)
ENSG00000173933,RBM4,RNA binding motif protein 4,5,3,0,2,10,13,0.0154,0.0101,0.00291,NA,NA,NA,NA,0.00291,0.493,6.69 (1.3-43.1),4.01 (0.924-17.5),3.09 (1.21-7.63)
ENSG00000179979,CRIPAK,Cysteine-rich PAK1 inhibitor,25,47,0,0,0,0,0.00297,NA,0.00297,NA,NA,NA,NA,0.00297,0.493,2.14 (1.26-3.54),2.14 (1.26-3.54),NA
ENSG00000155330,C16orf87,Chromosome 16 open reading frame 87,4,1,0,0,1,0,0.00647,0.18,0.003,NA,NA,NA,NA,0.003,0.493,16.1 (1.59-787),16.1 (1.59-787),Inf (0.103-Inf)
ENSG00000108671,PSMD11,"Proteasome (prosome, macropain) 26S subunit, non-ATPase, 11",7,4,0,0,2,10,0.00304,1,0.00304,NA,NA,NA,NA,0.00304,0.493,7.03 (1.79-32.8),7.03 (1.79-32.8),0.803 (0.0855-3.77)
ENSG00000181143,MUC16,"Mucin 16, cell surface associated",129,466,0,0,0,0,0.0044,NA,0.0044,1,NA,NA,0.177,0.00305,0.493,1.11 (0.907-1.35),1.11 (0.907-1.35),NA
ENSG00000182568,SATB1,SATB homeobox 1,7,2,0,0,16,52,0.00429,0.432,0.00306,NA,NA,NA,NA,0.00306,0.493,14 (2.68-139),14 (2.68-139),1.24 (0.658-2.2)
ENSG00000142784,WDTC1,WD and tetratricopeptide repeats 1,4,2,0,0,20,42,0.0102,0.0554,0.00309,NA,NA,NA,NA,0.00309,0.493,8.03 (1.15-88.9),8.03 (1.15-88.9),1.91 (1.06-3.33)
ENSG00000147526,TACC1,"Transforming, acidic coiled-coil containing protein 1",13,21,0,0,0,0,0.0031,NA,0.0031,NA,NA,NA,NA,0.0031,0.493,2.49 (1.14-5.2),2.49 (1.14-5.2),NA
ENSG00000065000,AP3D1,"Adaptor-related protein complex 3, delta 1 subunit",8,9,0,0,10,38,0.00313,0.921,0.00313,NA,NA,NA,NA,0.00313,0.494,3.57 (1.2-10.4),3.57 (1.2-10.4),1.06 (0.469-2.16)
ENSG00000125823,CSTL1,Cystatin-like 1,7,7,0,0,0,0,0.00321,NA,0.00321,NA,NA,NA,NA,0.00321,0.498,4.01 (1.2-13.4),4.01 (1.2-13.4),NA
ENSG00000164458,T,"T, brachyury homolog (mouse)",8,12,0,0,6,31,0.00322,0.671,0.00322,NA,NA,NA,NA,0.00322,0.498,2.68 (0.949-7.12),2.68 (0.949-7.12),0.777 (0.265-1.89)
ENSG00000196689,TRPV1,"Transient receptor potential cation channel, subfamily V, member 1",3,53,0,0,0,0,0.00324,NA,0.00324,NA,NA,NA,NA,0.00324,0.498,0.227 (0.0454-0.701),0.227 (0.0454-0.701),NA
ENSG00000171735,CAMTA1,Calmodulin binding transcription activator 1,5,4,0,0,0,0,0.00327,NA,0.00327,NA,NA,NA,NA,0.00327,0.498,5.02 (1.08-25.3),5.02 (1.08-25.3),NA
